"NUMERO","ANIO","PUBLICACION","CANTIDAD_NORMAS","LINK"
2055,2026,"23/06/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2286&modo=attachment"
2054,2026,"22/06/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2285&modo=attachment"
2053,2026,"19/06/2026",13,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2284&modo=attachment"
2052,2026,"18/06/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2283&modo=attachment"
2051,2026,"16/06/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2282&modo=attachment"
2050,2026,"12/06/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2281&modo=attachment"
2049,2026,"11/06/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2280&modo=attachment"
2048,2026,"10/06/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2279&modo=attachment"
2047,2026,"09/06/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2278&modo=attachment"
2046,2026,"08/06/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2277&modo=attachment"
2045,2026,"05/06/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2276&modo=attachment"
2044,2026,"04/06/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2275&modo=attachment"
2043,2026,"03/06/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2274&modo=attachment"
2042,2026,"02/06/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2273&modo=attachment"
2041,2026,"28/05/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2272&modo=attachment"
2040,2026,"27/05/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2271&modo=attachment"
2039,2026,"26/05/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2270&modo=attachment"
2038,2026,"20/05/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2269&modo=attachment"
2037,2026,"19/05/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2268&modo=attachment"
2036,2026,"15/05/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2267&modo=attachment"
2035,2026,"14/05/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2266&modo=attachment"
2034,2026,"12/05/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2265&modo=attachment"
2033,2026,"07/05/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2264&modo=attachment"
2032,2026,"24/04/2026",12,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2263&modo=attachment"
2031,2026,"23/04/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2261&modo=attachment"
2030,2026,"22/04/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2260&modo=attachment"
2029,2026,"21/04/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2259&modo=attachment"
2028,2026,"20/04/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2258&modo=attachment"
2027,2026,"16/04/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2256&modo=attachment"
2026,2026,"15/04/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2255&modo=attachment"
2025,2026,"14/04/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2254&modo=attachment"
2024,2026,"13/04/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2253&modo=attachment"
2023,2026,"09/04/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2252&modo=attachment"
2022,2026,"08/04/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2251&modo=attachment"
2021,2026,"07/04/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2249&modo=attachment"
2020,2026,"06/04/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2247&modo=attachment"
2019,2026,"01/04/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2246&modo=attachment"
2018,2026,"31/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2245&modo=attachment"
2017,2026,"30/03/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2243&modo=attachment"
2016,2026,"27/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2242&modo=attachment"
2015,2026,"26/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2241&modo=attachment"
2014,2026,"25/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2240&modo=attachment"
2013,2026,"20/03/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2239&modo=attachment"
2012,2026,"19/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2238&modo=attachment"
2011,2026,"18/03/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2237&modo=attachment"
2010,2026,"17/03/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2236&modo=attachment"
2009,2026,"16/03/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2235&modo=attachment"
2008,2026,"13/03/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2234&modo=attachment"
2007,2026,"11/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2233&modo=attachment"
2006,2026,"09/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2232&modo=attachment"
2005,2026,"06/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2230&modo=attachment"
2004,2026,"05/03/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2228&modo=attachment"
2003,2026,"04/03/2026",6,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2227&modo=attachment"
2002,2026,"03/03/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2226&modo=attachment"
2001,2026,"27/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2225&modo=attachment"
2000,2026,"26/02/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2224&modo=attachment"
1999,2026,"25/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2223&modo=attachment"
1998,2026,"24/02/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2222&modo=attachment"
1997,2026,"20/02/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2221&modo=attachment"
1996,2026,"19/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2220&modo=attachment"
1995,2026,"18/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2219&modo=attachment"
1994,2026,"13/02/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2218&modo=attachment"
1993,2026,"12/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2217&modo=attachment"
1992,2026,"11/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2216&modo=attachment"
1991,2026,"10/02/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2215&modo=attachment"
1990,2026,"06/02/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2213&modo=attachment"
1989,2026,"05/02/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2212&modo=attachment"
1988,2026,"03/02/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2211&modo=attachment"
1987,2026,"02/02/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2210&modo=attachment"
1986,2026,"30/01/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2209&modo=attachment"
1985,2026,"29/01/2026",2,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2207&modo=attachment"
1984,2026,"27/01/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2206&modo=attachment"
1983,2026,"23/01/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2205&modo=attachment"
1982,2026,"22/01/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2204&modo=attachment"
1981,2026,"21/01/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2203&modo=attachment"
1980,2026,"20/01/2026",7,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2202&modo=attachment"
1979,2026,"19/01/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2201&modo=attachment"
1978,2026,"15/01/2026",4,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2200&modo=attachment"
1977,2026,"14/01/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2199&modo=attachment"
1976,2026,"13/01/2026",3,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2198&modo=attachment"
1975,2026,"12/01/2026",5,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2197&modo=attachment"
1974,2026,"09/01/2026",1,"https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2196&modo=attachment"
