"COMPENDIO","DESCRIPCION","PERIODO","CANTIDAD_NORMAS","LINK"
"COMPENDIO 2025","TOMO 1","ENERO a JUNIO",129,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=36"
"COMPENDIO 2025","TOMO 2","JULIO a DICIEMBRE",119,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=37"
"COMPENDIO 2024","TOMO 1","ENERO a JUNIO",108,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=34"
"COMPENDIO 2024","TOMO 2","JULIO a DICIEMBRE",171,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=35"
"COMPENDIO 2023","TOMO 1","ENERO a JUNIO",150,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=32"
"COMPENDIO 2023","TOMO 2","JULIO a DICIEMBRE",199,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=33"
"COMPENDIO 2022","TOMO 1","ENERO a JUNIO",120,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=29"
"COMPENDIO 2022","TOMO 2","JULIO a DICIEMBRE",140,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=31"
"COMPENDIO 2021","TOMO 1","ENERO a JUNIO",175,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=27"
"COMPENDIO 2021","TOMO 2","JULIO a DICIEMBRE",162,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=28"
"COMPENDIO 2020","TOMO 1","ENERO a JUNIO",104,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=22"
"COMPENDIO 2020","TOMO 2","JULIO a DICIEMBRE",126,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=25"
"COMPENDIO 2019","TOMO 1","ENERO a JUNIO",88,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=20"
"COMPENDIO 2019","TOMO 2","JULIO a DICIEMBRE",166,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=21"
"COMPENDIO 2018","TOMO 1","ENERO a JUNIO",95,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=17"
"COMPENDIO 2018","TOMO 2","JULIO a DICIEMBRE",99,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=19"
"COMPENDIO 2017","TOMO 1","ENERO a JUNIO",103,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=13"
"COMPENDIO 2017","TOMO 2","JULIO a DICIEMBRE",117,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=15"
"COMPENDIO 2016","TOMO 1","ENERO a JUNIO",111,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=11"
"COMPENDIO 2016","TOMO 2","JULIO a DICIEMBRE",151,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=12"
"COMPENDIO 2015","TOMO 1","ENERO a JUNIO",96,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=9"
"COMPENDIO 2015","TOMO 2","JULIO a DICIEMBRE",175,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=10"
"COMPENDIO 2014","TOMO 1","ENERO a JUNIO",141,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=7"
"COMPENDIO 2014","TOMO 2","JULIO a DICIEMBRE",140,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=8"
"COMPENDIO 2013","TOMO 1","ENERO a JUNIO",67,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=2"
"COMPENDIO 2013","TOMO 2","JULIO a DICIEMBRE",104,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=3"
"COMPENDIO 2012","TOMO ÚNICO","OCTUBRE a DICIEMBRE",85,"https://www.rosario.gob.ar/normativa/compendio/ver.do?itemId=1"
