"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Declaración Concejo Municipal",5931,2022,"El Concejo Municipal declara su profunda preocupación por el informe presentado por el ""Observatorio Argentinos por la Educación"".","02/06/2022","22/06/2022",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=191945"
"Declaración Concejo Municipal",5920,2022,"Año 2022. Homenaje caídos. ISLAS MALVINAS, GEORGIAS DEL SUR, SANDWICH DEL SUR. Declaración.","09/03/2022","31/03/2022",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=186570"
"Declaración Concejo Municipal",50928,2017,"Declarar de Interés Municipal al libro ""Frutillas. Un libro sobre educación y trabajo"".","09/11/2017","14/11/2017",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=129964"
"Declaración Concejo Municipal",5684,2017,"Arbitrar las medidas necesarias con el fin de preservar la continuidad educativa de la Escuela Técnica Nº 472 ""Crisol"".","30/03/2017","07/04/2017",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=122027"
"Declaración Concejo Municipal",5675,2016,"""Día del Círculo de Comunicadores de Rosario y la Región"". Declaración.","24/11/2016","22/12/2016",705,2017,"06/01/2017","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=119046"
"Declaración Concejo Municipal",5671,2016,"Adhiere a las actividades que se realizaran desde el 14 al 20/11/2016 en el marco del dia mundial del prematuro","03/11/2016","11/11/2016",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=118596"
"Declaración Concejo Municipal",5641,2016,"50 Aniversario del Derrocamiento del Presidente Constitucional Dr. Arturo Umberto Illia. Conmemoración.","09/06/2016","13/07/2016",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=115173"
"Declaración Concejo Municipal",5624,2016,"DECLARA SU BENEPLACITO Y APOYO AL PROYECTO DE LEY DEL EXPTE. Nº 30054 DB, APROBADO EL DIA 24/09/2015","14/04/2016","06/05/2016",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=113138"
"Declaración Concejo Municipal",5615,2016,"EXPRESA SU PREOCUPACION POR LA SITUACION LABORAL DE LOS 300 EMPLEADOS DE LA EMPRESA SOL LINEAS AEREAS","18/02/2016","30/03/2016",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=112432"
"Declaración Concejo Municipal",5600,2015,"Declarar la Adhesión de C.M. al Homenaje a Oscar Moro.","08/07/2015","13/07/2015",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=107166"
