"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Decreto - Ordenanza",3560,1983,"Espectáculos públicos. Ruidos molestos.","06/12/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33115"
"Decreto - Ordenanza",3548,1983,"Código Urbano. Sección 5º. Sector Bv. Seguí - Avda. Rouillón -Calle 1813 (antes D) - Provincias Unidas. Trazado Oficial. Modificación.","05/12/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34099"
"Decreto - Ordenanza",3543,1983,"Comisión Municipal de Boxeo. Reglamento Interno. Aprobación.","29/11/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=39604"
"Decreto - Ordenanza",3542,1983,"Clubes. Gimnasios. Locales. Boxeo. Práctica. Enseñanza. Reglamentación.","29/11/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=39656"
"Decreto - Ordenanza",3539,1983,"Código Edilicio Particularizado. Aprobación. Sector. Aplicación. Av. Kennedy - Camino de los Granaderos - Calle Baigorria -  Av. Circunvalación 25 de Mayo.Susbsiste aplicacion Reglamento Edificación y Código Urbano.","24/11/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34101"
"Decreto - Ordenanza",3529,1983,"Estacionamiento paralelo. Diversas arterias. Autorización.","28/10/1983",,,,"SI","http://www.rosario.gov.ar/mr/normativa/otras-normas/decreto-ordenaza-no-3529-1983"
"Decreto - Ordenanza",3515,1983,"Neumáticos. Dibujos. Profundización. Circulación. Prohibición. Sanción.","26/10/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34566"
"Decreto - Ordenanza",3512,1983,"Estacionamiento de motos, motociclos, motonetas y bicicletas. Disposición.","19/10/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=172623"
"Decreto - Ordenanza",3498,1983,"Código de faltas. Sanciones. Venta animales. Comercios inscriptos. Requisitos.","20/09/1983",,,,"SI","https://ssl.rosario.gov.ar/mr/normativa/otras-normas/ordenanzas/ordenanza-3498-1983"
"Decreto - Ordenanza",3496,1983,"Código Urbano. Sección 5º. Pasaje. Creación. Ancho oficial. Orientación. Calle XXIII. Calle Suipacha. Tramo. Supresión. Predio afectado. Cesión gratuita a la Municipalidad.","16/09/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=34104"
"Decreto - Ordenanza",3479,1983,"Quioscos de propiedad municipal.Titularidad. Contrato de adjudicación. Carácter precario y revocable.","30/08/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=12"
"Decreto - Ordenanza",3467,1983,"Operadores cinematográficos. Electricistas de espectáculos públicos. Reglamento.","10/08/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=320"
"Decreto - Ordenanza",3463,1983,"Taxis. Conductores. Relevante o peón de taxi. Requisitos. Registro. Inscripción. Validez. Renovación. Sanciones.","04/08/1983",,,,"SI","https://ssl.rosario.gov.ar/mr/normativa/otras-normas/decretos-ordenanzas/decreto-ordenanza-3463-1983"
"Decreto - Ordenanza",3460,1983,"Fijación de precios. Actos culturales. Dirección General de Cultura. Autorización.","02/08/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=52543"
"Decreto - Ordenanza",3451,1983,"Playas de estacionamiento. Área tránsito restringido. Modalidad Mensualizada. Requisitos.","20/07/1983",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=257"
