"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Decreto Concejo Municipal",69622,2026,"EXPTE. N° 16981-C-26. DECLARACION DE INSTITUCION DISTINGUIDA A ROSARIO SOLIDARIA EN EL MARCO DE SU 15 ANIVERSARIO.","21/05/2026","02/06/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263797"
"Decreto Concejo Municipal",69621,2026,"Declarase de Interés Municipal el evento ""Coyuntura Económica e Inversión"", con la disertación del economista Claudio zuchovicki.","21/05/2026","08/06/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262770"
"Decreto Concejo Municipal",69619,2026,"Visitante Distinguido. Sr. Embajador de la República Argelina Democrática y Popular en la República Argentina, Lotfi Sebouai. Declaración.","21/05/2026","01/06/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263367"
"Decreto Concejo Municipal",69487,2026,"Encomiendase al D.E.M. que, de cumplimiento a lo establecido en la ordenanza nro 10749","21/05/2026","08/06/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262794"
"Decreto Concejo Municipal",69440,2026,"Declarase de Interés Municipal a la ""240"" Reunión del Concejo Directivo de la Federación Empresaria Hotelera Gastronómica de la República Argentina.","07/05/2026","26/05/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263100"
"Decreto Concejo Municipal",69438,2026,"Declarase de interés Municipal el 70 aniversario de la ""Galería Rosario"".","07/05/2026","26/05/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262812"
"Decreto Concejo Municipal",69437,2026,"Periodista Distinguida de la Ciudad. Mg. Lic. Karina Vimonte. Declaración.","07/05/2026","19/05/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263447"
"Decreto Concejo Municipal",69431,2026,"Otorgase diploma de honor al equipo de voley masculino de Sonder.","07/05/2026","18/05/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263258"
"Decreto Concejo Municipal",69394,2026,"Declarase de Interés Municipal la fiesta del trabajador y la trabajadora de la alimentación organizada por el sind. de trabajadores de la industria de la alimentación.","07/05/2026","26/05/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262820"
"Decreto Concejo Municipal",69388,2026,"Interés Municipal. Convenio de Cooperación institucional y Conferencia II Silencio Administrativo y Acceso a la Justicia"". 27 de abril. Colegio de Abogados de Rosario. Declaración.","23/04/2026","14/05/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261939"
