"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Decreto",989,2026,"Decreto N° 964/2024. Modificación.","23/06/2026",2055,2026,"23/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263594"
"Decreto",984,2026,"Contrato de concesión. Mercado del Patio. Local 24. Transferencia. Autorización.","23/06/2026",2055,2026,"23/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263557"
"Decreto",983,2026,"Propuesta comercial del Mercado del Centro. Local N° 7. Adjudicación. Aprobación.","23/06/2026",2055,2026,"23/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263556"
"Decreto",972,2026,"Licitación Pública ""Plazas de cercanía en diferentes Distritos de la Ciudad - 2026"". Adjudicación.","22/06/2026",2054,2026,"22/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263520"
"Decreto",966,2026,"Licitación Pública ""Contratación del Servicio de Limpieza Hospital de Emergencias Dr. Clemente Álvarez"". Pliego de Bases y Condiciones. Aprobación. Llamado.","22/06/2026",2054,2026,"22/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263493"
"Decreto",963,2026,"Licitación Pública ""Pavimento definitivo de hormigón Distrito Noroeste"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263441"
"Decreto",962,2026,"Licitación Pública ""Pavimentos de hormigón y obras complementarias en la ciudad de Rosario"". Legajo. Aprobación. Llamado.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263439"
"Decreto",961,2026,"Licitación Pública ""Ejecución de instalaciones para la generación de energía eléctrica 
alternativa en el Edificio Aduana"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263432"
"Decreto",958,2026,"Licitación Pública ""Adquisición de equipos informáticos"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263418"
"Decreto",952,2026,"Licitación Pública ""Contratación del servicio de descontaminación, desguace y 
compactación de vehículos, elementos en desuso y/o chatarra"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263396"
"Decreto",950,2026,"Licitación Pública ''Intervenciones en Pavimento Definitivo de Hormigón"". Adjudicación","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263391"
"Decreto",949,2026,"Licitación Pública ""Espacios públicos y obras complementarias"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263376"
"Decreto",948,2026,"Licitación Pública ""Terraplén B° Las Flores Sur - Sector Colectora"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263378"
"Decreto",947,2026,"Licitación Pública ""Pavimentación asfáltica y rehabilitación de estructuras flexibles en la Ciudad de Rosario"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263375"
"Decreto",946,2026,"Licitación Pública ""Reacondicionamiento de Obras Hidráulicas - Sistema Modular 2026"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263371"
"Decreto",945,2026,"Licitación Pública ""Parque de la Colectora - Etapa 2"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263369"
"Decreto",944,2026,"Licitación Pública ""Adquisición de artículos varios de impresión"". Adjudicación.","19/06/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263368"
"Decreto",943,2026,"Programa de Letras del Tesoro 2026. Emisión. Condiciones. Disposición.","18/06/2026",2052,2026,"18/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263357"
"Decreto",942,2026,"Licitación Pública ""Contratación del servicio de seguridad y vigilancia privada CMD Centro Antonio Berni"". Prórroga.","18/06/2026",2052,2026,"18/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263315"
"Decreto",940,2026,"Distinción especial ""Orden del Rosario"". ""Asociación Civil Amigos del Voluntariado 
de la Maternidad Martin"". ""Servicio de Voluntarias del Hospital Roque Sáenz Peña"". 
""Servicio de Voluntarios del Hospital de Niños Victor J. Vilela"". Otorgamiento.","16/06/2026",2051,2026,"16/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263179"
"Decreto",939,2026,"Día de la Bandera. Sexagésimo noveno aniversario inauguración oficial Monumento Nacional a la Bandera. Embanderamiento. Invitación. Inmuebles municipales. Disposición.","16/06/2026",2051,2026,"16/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263177"
"Decreto",933,2026,"Decreto Nº 68.061. Plazo. Prórroga.","16/01/2026",2051,2026,"16/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263160"
"Decreto",930,2026,"Licitación Pública ""Nacional e internacional para la concesión del ex predio La Rural ubicado en el Parque Independencia de la ciudad de Rosario, Provincia de Santa Fe"". Adjudicación.","12/06/2026",2050,2026,"12/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263099"
"Decreto",928,2026,"Licitación Pública ""Contratación de un servicio integral de transporte aéreo sanitario (HEMS)"". Pliego de bases y condiciones. Aprobación. Llamado.","12/06/2026",2050,2026,"12/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263075"
"Decreto",923,2026,"Licitación Pública ""Contratación del Servicio de Limpieza en el Hospital de Niños Víctor J. Vilela"". Pliego de bases y condiciones. Aprobación. Llamado.","12/06/2026",2050,2026,"12/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263069"
"Decreto",913,2026,"Licitación Pública ""Ampliación y Reforma Centro de Salud Ceferino Namuncurá-Etapa 2"". Adjudicación.","11/06/2026",2049,2026,"11/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262996"
"Decreto",909,2026,"Licitación Pública ""Sellado de juntas, grietas y fisuras en pavimentos de hormigón"". Legajo. Aprobación. Llamado.","10/06/2026",2048,2026,"10/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262948"
"Decreto",908,2026,"Licitación Pública ""Bacheo asfáltico en pequeñas superficies en la Ciudad de Rosario, zonas Sur-Suroeste, NorteNoroeste y Centro-Oeste"". Legajo. Aprobación. Llamado.","10/06/2026",2048,2026,"10/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262947"
"Decreto",902,2026,"Licitación Pública ""Provisión de caños, chapas, y planchuelas"". Adjudicación.","09/06/2026",2047,2026,"09/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262913"
"Decreto",898,2026,"Licitación Pública ""Servicio de Mantenimiento del Sistema Integral de Video Vigilancia Urbano Municipal"". Monto contractual. Ampliación.","09/06/2026",2047,2026,"09/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262908"
"Decreto",897,2026,"Decreto Nº 0838/2026. Modificación.","08/06/2026",2046,2026,"08/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262894"
"Decreto",885,2026,"Licitación Pública ""Contratación del servicio de lavadero para la ropa hospitalaria del Hospital de Emergencias Dr. Clemente Álvarez"". Adjudicación.","05/06/2026",2045,2026,"05/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262797"
"Decreto",883,2026,"Licitación Pública ""Pavimento definitivo en Barrio Triángulo Sectores 1 y 2"". Legajo. Aprobación. Llamado.","05/06/2026",2045,2026,"05/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262792"
"Decreto",882,2026,"Licitación Pública ""Remodelación Av. Casiano Casas - Etapa I"". Legajo. Aprobación. Llamado.","05/06/2026",2045,2026,"05/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262791"
"Decreto",880,2026,"""Programa Municipal de Prevención y Detección Temprana del Cáncer de Mama"". Creación.","05/06/2026",2045,2026,"05/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262788"
"Decreto",863,2026,"Licitación Pública ""Para la obra Parque Acuático - Costanera Norte"". Adjudicación.","01/06/2026",2043,2026,"03/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262535"
"Decreto",861,2026,"Nuevos valores tarifarios. Vehículos contratados. Aprobación.","29/05/2026",2042,2026,"02/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262423"
"Decreto",858,2026,"Módulo de Contratación (MC). Valor. Adecuación.","29/05/2026",2042,2026,"02/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262405"
"Decreto",857,2026,"Licitación Pública ""Servicio de recolección, transporte, tratamiento y disposición final de residuos biopatogénicos, generados en los establecimientos de salud"". Adjudicación.","29/05/2026",2042,2026,"02/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262401"
"Decreto",847,2026,"Ordenanza Nº 9.987. Atículo 7°. Reglamentación.","26/05/2026",2039,2026,"26/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262187"
"Decreto",844,2026,"Servicio de ascensor. Monumento Nacional a la Bandera. Tarifa. Fijación.","26/05/2026",2040,2026,"27/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262190"
"Decreto",841,2026,"Decreto-Ordenanza N° 2.649. Artículo 63º. Reglamentación.","26/05/2026",2039,2026,"26/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262158"
"Decreto",838,2026,"Licitación Pública ""Contratación del servicio de limpieza predios de la Subsecretaría de Deporte, Subsecretaría de Turismo, ex edificio y edificio actual de la Secretaría de Deporte y Turismo"". Adjudicación.","26/05/2026",2039,2026,"26/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262153"
"Decreto",837,2026,"Acta acuerdo de intercambio. Laboratorio Industrial Farmacéutico Sociedad del Estado (L.I.F. S.E.) - Laboratorio de Especialidades Medicinales Sociedad del Estado (L.E.M. S.E.). Ratificación.","26/05/2026",2039,2026,"26/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262148"
"Decreto",826,2026,"Licitación Pública ""Contratación del Servicio de Seguridad y Vigilancia en el CMD Sudoeste Emilia Bertolé"". Pliego de bases y condiciones. Aprobación. Llamado.","19/05/2026",2038,2026,"20/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261772"
"Decreto",818,2026,"Biblioteca Argentina ""Dr. Juan Álvarez"". Prestaciones varias. Nuevos precios. Disposición.","19/05/2026",2038,2026,"20/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261757"
"Decreto",811,2026,"Ordenanza N° 8.422. Numeración. Modificación.","18/05/2026",2037,2026,"19/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261649"
"Decreto",810,2026,"Licitación Pública ""Concesión de obra pública para la ejecución, explotación comercial y mantenimiento de la actual Guardería Náutica Centro y su entorno"". Llamado. Prórroga.","14/05/2026",2036,2026,"15/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261544"
