"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Ordenanza",10912,2026,"Decreto-Ordenanza Nº 27 .800/62. Modificación.","21/05/2026","10/06/2026",2050,2026,"12/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263065"
"Ordenanza",10910,2026,"""Programa de Formación y Capacitación para Choferes del Servicio Público de Taxis"". Creación.","07/05/2026","18/05/2026",2053,2026,"19/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263365"
"Ordenanza",10906,2026,"""Plaza Gran Ducado de Luxemburgo"". Designación.","07/05/2026","15/05/2026",2045,2026,"05/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262795"
"Ordenanza",10905,2026,"Estudios de Costos. Tarifas de Servicios Públicos del Transporte Urbano de Pasajeros, Taxis y Remises.  Obligatoriedad de publicación. Disposición.","23/04/2026","11/05/2026",2043,2026,"03/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262448"
"Ordenanza",10904,2026,"Venta de bolsitas, sobres o dispositivos de uso oral, que contengan nicotina. Comercialización, restricciones y controles. Régimen aplicable.","23/04/2026","19/05/2026",2041,2026,"28/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262312"
"Ordenanza",10903,2026,"Ordenanza N° 6.808. Modificación.","09/04/2026","24/04/2026",2035,2026,"14/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261363"
"Ordenanza",10902,2026,"""Plazoleta República Argelina Democrática y Popular"". Designación.","09/04/2026","20/04/2026",2035,2026,"14/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261365"
"Ordenanza",10901,2026,"Ordenanza Nº 10.114. Modificación.","09/04/2026","21/04/2026",2037,2026,"19/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261723"
"Ordenanza",10900,2026,"Trazado oficial arterias varias. Tramos. Supresión.","19/03/2026",,2028,2026,"20/04/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=259633"
"Ordenanza",10899,2026,"Plan de detalle ""Supermanzana N° 3 y Unidad de Gestión 1 de la Supermanzana N° 4. Ordenanza N° 10.231"". Disposición.","19/03/2026","14/04/2026",2028,2026,"20/04/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=259756"
