"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Resolución Concejo Municipal",6099,2026,"EXPTE. N° 16984-C-26. EL C. CM. R. RESUELVE CONVOCAR A UNA JORNADA DE DEBATE Y CAPAC. ACERCA DE LAS HERRAM. E INTERV. PROF. EN SITUACIONES DE ABUSOS EN LAS NIÑECES Y ADOLESCENCIAS.","21/05/2026","02/06/2026",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263798"
"Resolución Concejo Municipal",6098,2026,"""Comisión de Seguimiento de la Emergencia de TUP"". Integrantes por el Concejo Municipal. Designación.","21/05/2026","28/05/2026",2044,2026,"04/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262787"
"Resolución Concejo Municipal",6097,2026,"""Mesa Permanente sobre Economía Circular"". Integrantes. Designación.","21/05/2026","05/06/2026",2046,2026,"08/06/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262889"
"Resolución Concejo Municipal",6094,2026,"Comisión Fiscalizadora de Discapacidad. Integrante. Designación.","23/04/2026","05/05/2026",2037,2026,"19/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261719"
"Resolución Concejo Municipal",6093,2026,"Consejo Municipal de Promoción y Protección Integral de los Derechos de Niñas, Niños y Adolescentes. Concejales. Integrantes. Designación.","23/04/2026","04/05/2026",2039,2026,"26/05/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=261930"
"Resolución Concejo Municipal",6091,2026,"Comisión de Nomenclatura y Erección de Monumentos. Integrantes. Designación.","06/03/2026","12/03/2026",2014,2026,"25/03/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=258363"
"Resolución Concejo Municipal",6089,2026,"Ente Turístico de Rosario (ETUR). Integrantes por el Concejo Municipal. Designación.","26/02/2026","05/03/2026",2011,2026,"18/03/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=258257"
"Resolución Concejo Municipal",6087,2026,"Consejo Consultivo del Río. Integrantes por el Concejo Municipal. Designación.","26/02/2026","05/03/2026",2011,2026,"18/03/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=258262"
"Resolución Concejo Municipal",6086,2026,"Ente de la Movilidad. Integrante en representación del Concejo Municipal. Designación.","26/02/2026","05/03/2026",2011,2026,"18/03/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=258252"
"Resolución Concejo Municipal",6083,2025,"Consejo Municipal de Discapacidad.  Integrantes. Designación.","18/12/2025","29/12/2025",1998,2026,"24/02/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=257498"
"Resolución Concejo Municipal",6081,2025,"Coordinador de la Comisión Redactora del ""Digesto Jurídico de la ciudad de Rosario (DI.JU.RO)"". Dr Roberto Sukerman. Designación.","18/12/2025","07/01/2026",1980,2026,"20/01/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=256302"
