"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Resolución",106,2026,"""Programa de Financiamiento de Pavimento a Nivel Definitivo e Infraestructura Vinculada correspondiente a valores del 2025"". Emisión de bonos. Ejercicio 2026.  Particularidades. Disposición.","15/04/2026",2027,2026,"16/04/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=259517"
"Resolución",87,2026,"Emisión de la Tasa General de Inmuebles y sus Adicionales. Adecuación.","31/03/2026",2019,2026,"01/04/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=258778"
"Resolución",86,2026,"Cuantía Modulo tributario. Ordenanza General Impositiva. Adecuación.","31/03/2026",2019,2026,"01/04/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=258774"
"Resolución",63,2026,"Servicio público de Transporte Urbano de Pasajeros. Cuadro Tarifario.  Fijación.","30/01/2026",1997,2026,"20/02/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=257446"
"Resolución",404,2025,"Derecho de Registro e Inspección, sus adicionales y Contribución ETUR. Régimen Simplificado. Contribuyentes. Obligación. Disposición.","30/12/2025",1972,2026,"06/01/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=255806"
"Resolución",398,2025,"Pago Anticipado de la Tasa General de Inmuebles y sus adicionales 2026. Vencimiento. Fijación.","30/12/2025",1972,2026,"06/01/2026","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=255682"
"Resolución",394,2025,"Emisión de la Tasa General de Inmuebles y sus Adicionales. Adecuación.","26/12/2025",1969,2025,"29/12/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=255619"
"Resolución",278,2025,"Tasa General de Inmuebles y sus adicionales. Emisión. Adecuación.","26/09/2025",1926,2025,"29/09/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=252016"
"Resolución",246,2025,"Cuantía Modulo tributario. Ordenanza General Impositiva. Adecuación.","28/08/2025",1911,2025,"29/08/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=250486"
"Resolución",227,2025,"Resolución Nº 224/2025. Artículo 1°. Aclaración.","11/08/2025",1903,2025,"12/08/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=249851"
"Resolución",224,2025,"Letras del Tesoro. Serie IX. Emisión. Disposición.","07/08/2025",1901,2025,"08/08/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=249697"
"Resolución",224,2025,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","24/07/2025",1897,2025,"04/08/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=249488"
"Resolución",179,2025,"Tasa General de Inmuebles y sus adicionales. Emisión. Adecuación.","30/06/2025",1880,2025,"03/07/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=247705"
"Resolución",120,2025,"Cuantía Modulo tributario. Ordenanza General Impositiva. Adecuación.","29/04/2025",1850,2025,"30/04/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=244580"
"Resolución",91,2025,"Tasa General de Inmuebles y sus adicionales. Adecuación.","25/03/2025",1832,2025,"26/03/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=243047"
"Resolución",54,2025,"Habilitación. Modalidad ""Trámite Express"". Actividades. Listado. Disposición.","08/07/2025",1883,2025,"10/07/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=248052"
"Resolución",41,2025,"Emisión de bonos. ""Programa de Financiamiento de Pavimento a Nivel Definitivo e Infraestructura Vinculada correspondiente a valores del 2024"". Disposición.","10/02/2025",1817,2025,"11/02/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=241272"
"Resolución",23,2025,"Estados Financieros Consolidados. Ejercicio 2.024. Banco Municipal de Rosario. Publicación en el Boletín Oficial Municipal Electrónico. Disposición.","09/04/2024",1842,2025,"11/04/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=243716"
"Resolución",21,2025,"Decreto Nº 0055/2025. Facilidades de pago, para propietarios o responsables de inmuebles cuyas veredas hayan sido ejecutadas por la Municipalidad. ""Acuerdo de Reconocimiento de deuda y compromiso de pago"". Formulario. Disposición.","24/01/2025",1809,2025,"27/01/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=240498"
"Resolución",14,2025,"Contribuyentes del Derecho de Registro e Inspección, sus adicionales y Contribución ETUR. Régimen Simplificado. Generación de nueva credencial. Condiciones. Disposición.","09/01/2025",1800,2025,"10/01/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239889"
"Resolución",1,2025,"Funciones de Intendente Municipal. Dr. Pablo Javkin. Reasunción.","06/01/2025",1798,2025,"07/01/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239673"
"Resolución",1991,2024,"Funciones de Intendente Municipal. Presidenta del Concejo Municipal Mg. María Eugenia Schmuck. Delegación.","26/12/2024",1797,2025,"03/01/2025","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239348"
"Resolución",1311,2024,"Patente única sobre Vehículos. Dirección Cobranza Judicial. Períodos fiscales vencidos hasta 31/12/2021. Cobro. Disposición.","13/08/2024",1730,2024,"14/08/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=231676"
"Resolución",424,2024,"Tasa General de Inmuebles y sus adicionales 2025. Opción pago anticipado. Vencimiento. Fijación.","26/12/2024",1795,2024,"27/12/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239423"
"Resolución",423,2024,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación.","26/12/2024",1795,2024,"27/12/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239422"
"Resolución",308,2024,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación.","25/09/2024",1750,2024,"25/09/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=234328"
"Resolución",246,2024,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","30/09/2024",1753,2024,"02/10/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=234895"
"Resolución",206,2024,"Letras del Tesoro. Serie VIII. Emisión. Disposición.","02/07/2024",1714,2024,"03/07/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=228075"
"Resolución",205,2024,"Letras del Tesoro. Serie VII. Emisión. Disposición.","02/07/2024",1714,2024,"03/07/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=228071"
