_category,_link_col,NUMERO,ANIO,PUBLICACION,CANTIDAD_NORMAS,LINK,TIPO,ASUNTO,FEC_SANCION,NRO_BOLETIN,ANIO_BOLETIN,FEC_PUBLICACION_BOLETIN,FUE_ACTUALIZADA,TEXTO_VIGENTE_NORMA,FEC_PROMULGACION
boletines,LINK,2055,2026,23/06/2026,3,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2286&modo=attachment,,,,,,,,,
boletines,LINK,2054,2026,22/06/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2285&modo=attachment,,,,,,,,,
boletines,LINK,2053,2026,19/06/2026,13,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2284&modo=attachment,,,,,,,,,
boletines,LINK,2052,2026,18/06/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2283&modo=attachment,,,,,,,,,
boletines,LINK,2051,2026,16/06/2026,3,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2282&modo=attachment,,,,,,,,,
boletines,LINK,2050,2026,12/06/2026,4,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2281&modo=attachment,,,,,,,,,
boletines,LINK,2049,2026,11/06/2026,1,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2280&modo=attachment,,,,,,,,,
boletines,LINK,2048,2026,10/06/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2279&modo=attachment,,,,,,,,,
boletines,LINK,2047,2026,09/06/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2278&modo=attachment,,,,,,,,,
boletines,LINK,2046,2026,08/06/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2277&modo=attachment,,,,,,,,,
boletines,LINK,2045,2026,05/06/2026,5,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2276&modo=attachment,,,,,,,,,
boletines,LINK,2044,2026,04/06/2026,1,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2275&modo=attachment,,,,,,,,,
boletines,LINK,2043,2026,03/06/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2274&modo=attachment,,,,,,,,,
boletines,LINK,2042,2026,02/06/2026,3,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2273&modo=attachment,,,,,,,,,
boletines,LINK,2041,2026,28/05/2026,1,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2272&modo=attachment,,,,,,,,,
boletines,LINK,2040,2026,27/05/2026,1,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2271&modo=attachment,,,,,,,,,
boletines,LINK,2039,2026,26/05/2026,5,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2270&modo=attachment,,,,,,,,,
boletines,LINK,2038,2026,20/05/2026,2,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2269&modo=attachment,,,,,,,,,
boletines,LINK,2037,2026,19/05/2026,3,https://www.rosario.gob.ar/normativa/ver/documento.do?accion=getPdf&id=2268&modo=attachment,,,,,,,,,
decretos,TEXTO_VIGENTE_NORMA,989,2026,,,,Decreto,Decreto N° 964/2024. Modificación.,23/06/2026,2055,2026,23/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263594,
decretos,TEXTO_VIGENTE_NORMA,984,2026,,,,Decreto,Contrato de concesión. Mercado del Patio. Local 24. Transferencia. Autorización.,23/06/2026,2055,2026,23/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263557,
decretos,TEXTO_VIGENTE_NORMA,983,2026,,,,Decreto,Propuesta comercial del Mercado del Centro. Local N° 7. Adjudicación. Aprobación.,23/06/2026,2055,2026,23/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263556,
decretos,TEXTO_VIGENTE_NORMA,972,2026,,,,Decreto,"Licitación Pública ""Plazas de cercanía en diferentes Distritos de la Ciudad - 2026"". Adjudicación.",22/06/2026,2054,2026,22/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263520,
decretos,TEXTO_VIGENTE_NORMA,966,2026,,,,Decreto,"Licitación Pública ""Contratación del Servicio de Limpieza Hospital de Emergencias Dr. Clemente Álvarez"". Pliego de Bases y Condiciones. Aprobación. Llamado.",22/06/2026,2054,2026,22/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263493,
decretos,TEXTO_VIGENTE_NORMA,963,2026,,,,Decreto,"Licitación Pública ""Pavimento definitivo de hormigón Distrito Noroeste"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263441,
